,ts_code,ann_date,f_ann_date,comp_type,net_profit,finan_exp,free_cashflow,im_net_cashflow_oper_act
2091,603507.SH,20190427,20190427,1,,,-264988529.77,
2092,603507.SH,20190420,20190420,1,60298970.2,41843897.86,224038075.1466,97612726.06
2093,300654.SZ,20190425,20190425,1,,,-65004772.68,
2094,300654.SZ,20190425,20190425,1,32141887.55,,70573424.6572,43556506.68
2095,300709.SZ,20190425,20190425,1,,,,
2096,300709.SZ,20190425,20190425,1,37185692.43,1644872.42,-192527685.26,82404697.69
2097,603506.SH,20190430,20190430,1,,,-105119448.98,
2098,603506.SH,20190427,20190427,1,95867079.88,-304716.98,-261335813.1006,154611811.56
2099,603466.SH,20190426,20190426,1,,,-194424325.18,
2100,603466.SH,20190416,20190416,1,210956375.57,,165462419.83,263773028.91
2101,300730.SZ,20190427,20190427,1,,,,
2102,300730.SZ,20190420,20190420,1,35302549.59,460080.39,-18042273.4184,-19459067.37
2103,002912.SZ,20190420,20190420,1,,,,
2104,002912.SZ,20190420,20190420,1,204754823.84,-3429644.03,117912764.052,226135430.3
2105,603829.SH,20190425,20190425,1,,,-100056964.11,
2106,603829.SH,20190425,20190425,1,60544140.1,2302330.4,53619672.5354,23271083.95
2107,603655.SH,20190427,20190427,1,,,-2110634.56,
2108,603655.SH,20190422,20190422,1,30208084.51,-420768.21,-61139383.1195,38206134.09
2109,603937.SH,20190430,20190430,1,,,-17811536.9359,
2110,603937.SH,20190429,20190429,1,114787890.75,-4732404.35,15031584.982,43732811.31
2111,002908.SZ,20190424,20190424,1,,,-244285723.62,
2112,002908.SZ,20190424,20190424,1,72166058.64,,45032072.7938,41189821.03
2113,002930.SZ,20190426,20190426,1,,,-256696473.34,
2114,002930.SZ,20190419,20190419,1,102710073.67,27614492.21,7413431.3472,15756702.28
2115,002907.SZ,20190425,20190425,1,,,-183658322.84,
2116,002907.SZ,20190330,20190330,1,137371811.05,1254951.31,339774758.6417,31795465.08
2117,600933.SH,20190427,20190427,1,,,-200693289.55,
2118,600933.SH,20190329,20190329,1,474658437.77,-4024972.6,109493099.6278,468223939.26
2119,002922.SZ,20190425,20190425,1,,,-80996922.89,
2120,002922.SZ,20190412,20190412,1,39844472.11,8283053.26,-343484903.7496,64783886.64
2121,300702.SZ,20190424,20190424,1,,,-74491167.88,
2122,300702.SZ,20190424,20190424,1,163661953.87,8301305.28,78927185.0242,78572392.7
2123,000881.SZ,20190427,20190427,1,,,-385628252.21,
2124,000881.SZ,20190427,20190427,1,377712157.07,147416463.68,-100623161.9366,140962771.54
2125,000882.SZ,20190425,20190425,1,,,155375833.68,
2126,000882.SZ,20190425,20190425,1,28965960.86,322917333.57,-1471019914.4077,-70063637.75
2127,000883.SZ,20190426,20190426,1,,,-1547856937.93,
2128,000883.SZ,20190426,20190426,1,1905891685.11,384117325.97,-1876584658.5641,2634288960.24
2129,000885.SZ,20190426,20190426,1,,,-370598506.0,
2130,000885.SZ,20190419,20190419,1,589294589.96,195909951.38,91033724.1464,1240031623.65
2131,000886.SZ,20190430,20190430,1,,,,
2132,000886.SZ,20190430,20190430,1,,,-25049597.6153,
2133,000886.SZ,20190412,20190412,1,166085767.05,-5626282.72,-94438525.7538,224686444.36
2134,000887.SZ,20190430,20190430,1,,,,
2135,000887.SZ,20190430,20190430,1,,,-132773019.0038,
2136,000887.SZ,20190423,20190423,1,1137912210.44,53138268.2,105430892.2064,973015991.86
2137,000888.SZ,20190427,20190427,1,,,-71371842.69,
2138,000888.SZ,20190326,20190326,1,208798943.29,-792986.23,342333719.174,397587779.21
2139,000889.SZ,20190430,20190430,1,,,,
2140,000889.SZ,20190430,20190430,1,,,-103839368.6637,
2141,000889.SZ,20190423,20190423,1,252883527.21,12447749.31,444463394.9077,-89314795.04
2142,000890.SZ,20190429,20190429,1,,,,
2143,000890.SZ,20190429,20190429,1,,,27192683.21,
2144,000890.SZ,20190429,20190429,1,-145228526.01,94730663.05,,1306697847.27
2145,000890.SZ,20190429,20190429,1,-145228526.01,94730663.05,2737572279.2,1306697847.27
2146,000892.SZ,20190430,20190430,1,,,346638701.6845,
2147,000892.SZ,20190430,20190430,1,323285771.88,31648772.89,-718935659.8016,-648767107.43
2148,000893.SZ,20190430,20190430,1,,,46496354.681,
2149,000893.SZ,20190430,20190430,1,-2219959.57,173959.36,-368473814.2608,42042406.27
2150,000895.SZ,20190430,20190430,1,,,,
2151,000895.SZ,20190430,20190430,1,,,-2136065291.9998,
2152,000895.SZ,20190316,20190316,1,5076404327.7,88148798.84,2551712456.2986,5194846772.37
2153,001896.SZ,20190427,20190427,1,,,-217260751.92,
2154,001896.SZ,20190419,20190419,1,-872296861.35,404809972.34,,1060895462.79
2155,001896.SZ,20190419,20190419,1,-872296861.35,404809972.34,974220159.29,1060895462.79
2156,000897.SZ,20190430,20190430,1,,,,
2157,000897.SZ,20190430,20190430,1,,,297055002.34,
2158,000897.SZ,20190320,20190320,1,-149390221.39,20839656.35,385293364.91,860299637.47
2159,000898.SZ,20190430,20190430,1,,,,
2160,000898.SZ,20190430,20190430,1,,,472705357.1429,
2161,000898.SZ,20190319,20190319,1,7952000000.0,1380000000.0,9897380495.6035,8294000000.0
2162,000899.SZ,20190429,20190429,1,,,-712899820.39,
2163,000899.SZ,20190327,20190327,1,188503330.99,114100712.61,1129793775.1161,307731542.72
2164,000900.SZ,20190427,20190427,1,,,,
2165,000900.SZ,20190427,20190427,1,,,4272201994.74,
2166,000900.SZ,20190328,20190328,1,956110107.85,496570338.22,212985275.8577,2384979469.65
2167,000901.SZ,20190429,20190429,1,,,,
2168,000901.SZ,20190429,20190429,1,172830746.91,14682185.19,,323042835.49
2169,000901.SZ,20190429,20190429,1,172830746.91,14682185.19,-60812692.915,323042835.49
2170,000902.SZ,20190412,20190412,1,,,177738093.0102,
