,ts_code,ann_date,end_date,revenue,operate_profit,n_income,total_assets,diluted_roe
4914,600801.SH,20190302,20181231,27466130000.0,7167630000.0,5181450000.0,33195090000.0,36.36
4915,600801.SH,20180228,20171231,20889000000.0,2580000000.0,2078000000.0,30499000000.0,18.98
4916,300025.SZ,20190228,20181231,1363927579.23,-17167449.46,11755867.67,1991125380.83,1.57
4917,300025.SZ,20180227,20171231,1418028125.73,-139328579.04,-132473427.44,3009939313.2,-16.22
4918,300025.SZ,20170223,20161231,1310119642.06,91638790.61,73879115.56,3044433941.43,8.57
4919,002324.SZ,20190228,20181231,3828742723.09,81413620.9,79210805.23,3897326306.56,3.52
4920,002324.SZ,20180228,20171231,3419180161.66,163152071.23,174080717.04,3854065994.68,7.94
4921,002324.SZ,20170228,20161231,3161726162.45,315328326.15,278066636.16,3436104798.27,14.09
4922,002322.SZ,20190228,20181231,984242175.84,291926104.88,261800686.59,3547769190.86,8.69
4923,002322.SZ,20180731,20180630,309169932.4,85219142.84,76784214.38,3341186702.59,2.51
4924,002322.SZ,20180228,20171231,831037903.1,277963808.25,270160619.51,3491811436.82,8.89
4925,002322.SZ,20170725,20170630,325439019.17,117922016.78,103809635.63,3248522115.7,3.45
4926,002322.SZ,20170228,20161231,689897506.52,119041972.18,156751911.78,3272826433.94,5.38
4927,002326.SZ,20190228,20181231,3309894100.0,523695100.0,462050200.0,6631911100.0,16.21
4928,002326.SZ,20180228,20171231,2751122300.0,209404200.0,182236100.0,5863822700.0,7.15
4929,002326.SZ,20170227,20161231,1758737600.0,362576400.0,314167800.0,4456775500.0,15.48
4930,002330.SZ,20190228,20181231,2031432042.67,-4846543.08,8241952.96,1791091936.98,0.62
4931,002330.SZ,20180228,20171231,1622056386.32,-13520888.0,7773746.52,1693982518.47,0.59
4932,002330.SZ,20170228,20161231,1568619733.45,-9897197.9,9624885.53,1787504496.8,0.73
4933,002333.SZ,20190228,20181231,1102974424.76,-147243777.88,-145706838.31,1827664900.01,-10.42
4934,002333.SZ,20180210,20171231,1027657172.65,-69322837.57,-35542737.48,1622002873.34,-2.34
4935,002333.SZ,20170124,20161231,980540019.05,-30756813.24,133560074.67,1779978753.6,8.86
4936,002332.SZ,20190228,20181231,3605519339.21,430185718.58,300985841.39,5415444201.99,12.18
4937,002332.SZ,20180228,20171231,2847961919.4,293898570.69,206673645.66,5181668116.34,9.02
4938,002332.SZ,20170225,20161231,2503730345.15,174883467.14,147089448.94,3618984102.1,6.75
4939,002334.SZ,20190227,20181231,2288329897.35,213642932.05,224231485.28,3412753304.63,12.67
4940,002334.SZ,20180713,20180630,1035136151.82,102249163.0,98279231.62,3229148652.18,5.56
4941,002334.SZ,20180228,20171231,2146846914.7,231500349.25,229255620.99,3243244418.16,13.12
4942,002334.SZ,20170728,20170630,884345417.62,65809035.66,90922221.42,2651498935.63,5.37
4943,002334.SZ,20170227,20161231,1329050859.06,20446726.73,66000574.89,2572834447.59,3.88
4944,002336.SZ,20190228,20181231,8125274287.25,-301830850.65,-345046084.75,4671815687.2,-21.62
4945,002336.SZ,20180227,20171231,8855336710.89,-435305314.17,-535966563.44,5250885350.28,-26.29
4946,002336.SZ,20170228,20161231,10193145797.04,-75335300.22,61090575.7,5909176988.22,2.68
4947,002335.SZ,20190228,20181231,3426060214.77,119004307.14,74198441.53,7519894979.26,2.21
